ShuntNumber,ShuntName,PnaShunt,PssShunt,NspShunt,SectionNumber,Type,SusceptanceStepSize,SusceptanceAtMinBankOutput,SusceptanceAtMaxBankOutput,ConductanceAtMinBankOutput,ConductanceAtMaxBankOutput,LocalControlTuningFactor,ControlSectionNumber,HighControlLimit,LowControlLimit,MinShiftWeightFactor,MinShiftTarget,LocalControlStatus,OptimizationStatus,MwInversion,MwMeasOverrideStatus,MwReplacementValue,CmeMwUsage,MvInversion,MvMeasOverrideStatus,MvReplacementValue,CmeMvUsage,ControlDelay,FlaShuntZeroSeqSusc,FlaShuntZeroSeqCond,AssetLabel,DefaultMwSchedule,DefaultMvSchedule,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,ShuntResponseLeadTime,ShuntResponseRateOfIncrease,ShuntResponseRateOfDecrease,ConnectionStatusIndicatorRef,BusNumberRef,ControlBusNumberRef,MwTelemetryRef,MvTelemetryRef,MwStandardDeviation,MwInversionFlag,MwCmeUsage,MwOverrideStatus,Mw_ReplacementValue,SetOrder4,MwAnalogPointRef,MwCtBreakerRef,MvStandardDeviation,MvInversionFlag,MvCmeUsage,MvOverrideStatus,Mv_ReplacementValue,SetOrder5,MvAnalogPointRef,MvCtBreakerRef,AmpStandardDeviation,AmpInversionFlag,AmpCmeUsage,AmpOverrideStatus,Amp_ReplacementValue,SetOrder7,AmpAnalogPointRef,AmpCtBreakerRef,ShuntSwitchName,NormalControlSwitchState,NormalIsolatorSwitchState,DefaultControlSwitchState,DefaultIsolatorSwitchState,IsolatorScadaOpenState,IsolatorScadaCloseState,CntlBrkrScadaOpenState,CntlBrkrScadaCloseState,SetOrder8,ControlSwitchStatusTelemetryRef,IsolatorSwitchStatusTelemetryRef,ControlSwitchStateTransition,IsolatorSwitchStateTransition,HighMVArLimitRef,LowMVArLimitRef,LeadingMVArReservesRef,LaggingMVArReservesRef,ControlModeTelemetryRef,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef,
1520,REDMAN CAP 1,No,Yes,Yes,612,Variable,1.44,0,1.44,0,0,1,612,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,1.44,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,329829,4027,4027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO.1 CAP BANK CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,53474,NULL,1,NULL,NULL,NULL,NULL,NULL,53475,NULL,NULL,NULL,NULL,
1521,ROSAMOND CAP 1,No,Yes,Yes,611,Fixed,4.8,0,4.8,0,0,1,611,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,329830,4028,4028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,+,In/Out,Block,NULL,1,63664,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1603,BARRE CAP 5,No,Yes,Yes,612,Variable,4.8,0,4.8,0,0,1,500,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321628,4102,4102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,137832,NULL,NO.5 CAPS CB,Open,NULL,Open,NULL,NULL,NULL,0,1,8,140884,NULL,1,NULL,NULL,NULL,NULL,NULL,140886,NULL,NULL,NULL,NULL,
1604,BARRE CAP 7,No,Yes,Yes,622,Variable,4.8,0,4.8,0,0,1,498,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321629,4102,4102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,10121,NULL,CAP 7 CB,Open,NULL,Open,NULL,NULL,NULL,0,1,8,141027,NULL,1,NULL,NULL,NULL,NULL,NULL,141029,NULL,NULL,NULL,NULL,
1605,BARRE CAP 8,No,Yes,Yes,632,Variable,4.8,0,4.8,0,0,1,997,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321630,4102,4102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,10125,NULL,CAP 8 CB,Open,NULL,Open,NULL,NULL,NULL,0,1,8,141031,NULL,1,NULL,NULL,NULL,NULL,NULL,141033,NULL,NULL,NULL,NULL,
1615,KIMBALL CAP 1,No,Yes,Yes,612,Variable,4.8,0,4.8,0,0,1,612,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325065,1093,1093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2887,213772,NULL,NO.1 CAPS SW,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,260326,NULL,1,NULL,NULL,NULL,NULL,NULL,260328,NULL,NULL,NULL,NULL,
1616,KIMBALL CAP 2,No,Yes,Yes,622,Variable,4.8,0,4.8,0,0,1,622,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325066,1093,1093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2887,7185,NULL,NO.2CAPS CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,21937,NULL,1,NULL,NULL,NULL,NULL,NULL,21939,NULL,NULL,NULL,NULL,
1617,KIMBALL CAP  4,No,Yes,Yes,642,Variable,4.8,0,4.8,0,0,1,642,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325067,1093,1093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2887,213776,NULL,NO.4 CAPS SW,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,260330,NULL,1,NULL,NULL,NULL,NULL,NULL,260332,NULL,NULL,NULL,NULL,
1702,PASSONS CAP 1,No,Yes,Yes,122,Variable,6,0,6,0,0,1,122,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,6,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321434,4201,4201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,217674,NULL,NO.1 CAPS CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,269036,NULL,1,NULL,NULL,NULL,NULL,NULL,269038,NULL,NULL,NULL,NULL,
1715,PONOMA CAP 1,No,No,Yes,612,Fixed,2.4,0,2.4,0,0,1,999,4.578,4.2292,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,2.4,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,325148,4208,4208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
