CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
JOHANNA.SHUNT.JOHANNA CAP 1_.IB,11440,-99,-99,-99,-99,-99,540021472,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,JOHANNA CAP 1_3265,JOHANNA CAP 1_3265,SHUNT,EMS,SHUNT,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,196910,NO.1 CAPS 12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,2400,-2400,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1200|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SHUNT.JOHANNA CAP 4_.IB,11445,-99,-99,-99,-99,-99,540021520,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,JOHANNA CAP 4_3264,JOHANNA CAP 4_3264,SHUNT,EMS,SHUNT,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,196913,NO.4 CAPS 12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,2400,-2400,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1200|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1011_78403.SWPS,-99,177642,-99,-99,516,-99,272472704,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1011_78403,1011_78403,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252328,12K BUS PAR OOB DSC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1021_78408.SWPS,-99,177632,-99,-99,516,-99,272472544,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1021_78408,1021_78408,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252318,TETRIS 12KV OOB DSC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1022_78409.SWPS,-99,177631,-99,-99,516,-99,272472528,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1022_78409,1022_78409,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252317,TETRIS 12KV IOB DSC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1031_78413.SWPS,-99,193761,-99,-99,516,-99,268584304,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1031_78413,1031_78413,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,9303,SOLITAIRE 12KV OOB DSC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1032_78414.SWPS,-99,193760,-99,-99,516,-99,268584288,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1032_78414,1032_78414,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,9302,SOLITAIRE 12KV IOB DSC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1041_78418.SWPS,-99,177587,-99,-99,516,-99,272471824,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1041_78418,1041_78418,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252273,YATHZEE 12KV OOB DSC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1042_78419.SWPS,-99,177586,-99,-99,516,-99,272471808,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1042_78419,1042_78419,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252272,YATHZEE 12KV IOB DSC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SWITCH.1051_78423.SWPS,-99,177644,-99,-99,516,-99,272472736,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.1051_78423,1051_78423,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,252330,NO.6 BK 12 OOB DSC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
