CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
CENTER.SWITCH.PSE_SHOTGUN N .TRGTB,-99,200484,-99,-99,370,-99,268621808,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT B,TRGT B,NULL,B,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,11647,SHOTGUN B TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .TRGTC,-99,200485,-99,-99,370,-99,268621824,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT C,TRGT C,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,11648,SHOTGUN C TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.GRLY,-99,111344,-99,506,506,28294,270721008,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,GND RLY,GND RLY,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,142847,TATTOO GRD RLY,YES,Yes,AUTO,Yes,NOVALUE,YES,NO,Yes,Class 3:Class 3,10:10,NOVALUE,NOVALUE,END,SOLID;AUTO,SOLID;AUTO,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
CENTER.SWITCH.PSE_TATTOO N C.IA,50858,-99,-99,-99,-99,-99,539090928,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,138751,TATTOO IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.IB,50859,-99,-99,-99,-99,-99,539090944,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,138752,TATTOO IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.IC,50860,-99,-99,-99,-99,-99,539090960,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,138753,TATTOO IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.POWP,16987,-99,-99,-99,-99,-99,538093904,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,76437,TATTOO MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 16:Class 16,8:8,18.18,-18.18,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|9|-9||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.POWQ,50862,-99,-99,-99,-99,-99,539090992,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,138755,TATTOO MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 16:Class 16,8:8,18.18,-18.18,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|9|-9||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_TATTOO N C.REC,-99,111342,-99,506,506,28292,270720976,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,REC,REC,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,142845,TATTOO N REC,YES,Yes,SOLID,Yes,NOVALUE,YES,NO,Yes,Class 3:Class 3,10:10,NOVALUE,NOVALUE,END,SOLID;AUTO,SOLID;AUTO,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
CENTER.SWITCH.PSE_TATTOO N C.TRGTA,-99,111345,-99,-99,370,-99,270721024,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_TATTOO N CB_52795,PSE_TATTOO N CB_52795,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT A,TRGT A,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,142848,TATTOO A TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
