BusNumber,BusName,PnaBus,PssBus,NspBus,VoltageBase,ExModelRetentionFlag,ExternalModelXref,VisibleBus,HighVoltageLimit1,LowVoltageLimit1,HighVoltageLimit2,LowVoltageLimit2,HighVoltageLimit3,LowVoltageLimit3,VoltConstraintSiWeightFactor,VoltConstraintHardnessFactor,CaCaseVoltConstraintHardFactor,VoltConstraintMonitorStatus,VoltConstraintEnforceStatus,VoltLimitMonitorCaCase,VoltLimitEnforceCaCase,VoltChangeHiLimit1,VoltChangeLowLimit1,VoltChangeHiLimit2,VoltChangeLowLimit2,VoltChangeHiLimit3,VoltChangeLowLimit3,VoltChngLimitSevWtCaCase,VoltChngLimitHardness,VoltChngLimitMonitor,VoltChngLimitEnforce,RegionOfInterest,AssetLabel,PseudoBus,ScheduleDataFlag,StationNumberRef,VoltageLimitAnalogPointRef,LimitNumber,HighDynLimit1,HighDynLimit2,HighDynLimit3,LowDynLimit1,LowDynLimit2,LowDynLimit3,VoltStandardDeviation,VoltCmeUsage,VoltOverrideStatus,VoltReplacementValue,VoltMeasurementSection,NetStatProcKvThresholdLimit,SetOrder1,VoltAnalogPointRef,AngleCmeUsage,AngleMeasurementSection,SetOrder2,AngleAnalogPointRef,StaticBusSplitIndicatorRef
3128,FLANCO 12,No,No,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.7482,-0.7482,0.7482,-0.7482,1,1,Off,Off,UseStationFlag,NULL,No,Yes,1023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3129,FLANCO 4,No,No,Yes,4,Retain,NULL,Yes,4.796,3.924,4.796,3.924,4.796,3.924,1,1,1,Off,Off,Off,Off,0.1308,-0.1308,0.2616,-0.2616,0.2616,-0.2616,1,1,Off,Off,UseStationFlag,NULL,No,Yes,1023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3134,CALCITY 33,No,No,Yes,33,Retain,NULL,Yes,37.95,31.05,37.95,31.05,37.95,31.05,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.7482,-0.7482,0.7482,-0.7482,1,1,Off,Off,UseStationFlag,DTS TRAINING,No,Yes,1026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3135,CALCITY 12,No,No,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.7482,-0.7482,0.7482,-0.7482,1,1,Off,Off,UseStationFlag,DTS TRAINING,No,Yes,1026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,In/Out!In/Out,Normal!Normal,NULL!NULL,2!8,NULL!NULL,1!10,208342!208326,NULL,NULL,NULL,NULL,NULL
3136,GANESHA 12,Yes,Yes,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.782,-0.782,0.782,-0.782,1,1,Off,Off,UseStationFlag,NULL,No,Yes,398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3!3,In/Out!In/Out,Normal!Normal,NULL!NULL,55!59,NULL!NULL,10!11,199115!199116,NULL,NULL,NULL,NULL,NULL
3137,GANESHA 4,No,Yes,Yes,4,Retain,NULL,Yes,4.785,3.915,4.785,3.915,4.785,3.915,1,1,1,Off,Off,Off,Off,0.1305,-0.1305,0.261,-0.261,0.261,-0.261,1,1,Off,Off,UseStationFlag,NULL,No,Yes,398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3138,FAIRFAX 16,Yes,Yes,Yes,16,Retain,NULL,Yes,18.26,14.94,18.26,14.94,18.26,14.94,1,1,1,Off,Off,Off,Off,0.498,-0.498,0.996,-0.996,0.996,-0.996,1,1,Off,Off,UseStationFlag,NULL,No,Yes,574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,.5!.5,In/Out!In/Out,Normal!Normal,NULL!NULL,999!50,NULL!NULL,123!124,101736!101737,NULL,NULL,NULL,NULL,NULL
3139,FAIRFAX 4,No,Yes,Yes,4,Retain,NULL,Yes,4.785,3.915,4.785,3.915,4.785,3.915,1,1,1,Off,Off,Off,Off,0.1305,-0.1305,0.261,-0.261,0.261,-0.261,1,1,Off,Off,UseStationFlag,NULL,No,Yes,574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,In/Out,Normal,NULL,999,NULL,200,101738,NULL,NULL,NULL,NULL,NULL
3140,KRAMER 33,Yes,Yes,Yes,33,Retain,NULL,Yes,36.3,29.7,36.3,29.7,36.3,29.7,1,1,1,Off,Off,Off,Off,0.99,-0.99,1.98,-1.98,1.98,-1.98,1,1,Off,Off,UseStationFlag,NULL,No,Yes,307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3141,KRAMER 2.4,No,Yes,Yes,2,Retain,NULL,Yes,2.64,2.16,2.64,2.16,2.64,2.16,1,1,1,Off,Off,Off,Off,0.99,-0.99,1.98,-1.98,1.98,-1.98,1,1,Off,Off,UseStationFlag,NULL,No,Yes,307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3142,DECLEZ 12,Yes,Yes,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.782,-0.782,0.782,-0.782,1,1,Off,Off,UseStationFlag,NULL,No,Yes,424,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,In/Out!In/Out,Normal!Normal,NULL!NULL,703!498,NULL!NULL,1!2,229017!229014,NULL,NULL,NULL,NULL,NULL
3144,PALM CYN 33,No,No,Yes,33,Retain,NULL,Yes,36.3,29.7,36.3,29.7,36.3,29.7,1,1,1,Off,Off,Off,Off,0.99,-0.99,1.98,-1.98,1.98,-1.98,1,1,Off,Off,UseStationFlag,NULL,No,Yes,1027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3145,PALM CYN 12,No,No,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,0.3741,-0.3741,0.782,-0.782,0.782,-0.782,1,1,Off,Off,UseStationFlag,NULL,No,Yes,1027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,In/Out,Normal,NULL,999,NULL,1,218897,NULL,NULL,NULL,NULL,NULL
3146,PALM CYN 4,No,No,Yes,4,Retain,NULL,Yes,4.785,3.915,4.785,3.915,4.785,3.915,1,1,1,Off,Off,Off,Off,0.1305,-0.1305,0.261,-0.261,0.261,-0.261,1,1,Off,Off,UseStationFlag,NULL,No,Yes,1027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,In/Out,Normal,NULL,999,NULL,1,218898,NULL,NULL,NULL,NULL,NULL
