PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
1230,GRAMERCY,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1231,HALLDALE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1232,HARBOR,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1233,HOLLYWOOD,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1236,VALLEY_LDWP,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1237,WILMINGTON,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1243,GRAMERCY_TAP,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1244,HALLDALE_TAP,No,No,NULL,Inside,Yes,NULL,Yes,NULL,64,
1331,LUNADA,No,No,NULL,Inside,Yes,NULL,Yes,5255,25,
1332,HUNTINGTON_PARK,No,Yes,NULL,Inside,Yes,NULL,Yes,5728,26,
1361,DOHENY,No,Yes,NULL,Inside,Yes,NULL,Yes,5209,24,
1363,PEARL,No,Yes,NULL,Inside,Yes,NULL,Yes,5224,24,
1364,PALOS_VERDES,No,Yes,NULL,Inside,Yes,NULL,Yes,5223,25,
1365,BICKNELL,No,Yes,NULL,Inside,Yes,NULL,Yes,5109,29,
1367,GARVEY,No,Yes,NULL,Inside,Yes,NULL,Yes,5122,29,
1368,ARRO,No,No,NULL,Inside,Yes,NULL,Yes,5602,38,
1391,MAYFLOWER,No,Yes,NULL,Inside,Yes,NULL,Yes,5167,37,
1392,MONROVIA,No,Yes,NULL,Inside,Yes,NULL,Yes,5134,37,
1396,SOUTH_GATE,No,Yes,NULL,Inside,Yes,NULL,Yes,5787,26,
1398,BEDFORD,No,Yes,NULL,Inside,Yes,NULL,Yes,5245,24,
1401,STODDARD,No,Yes,NULL,Inside,Yes,NULL,Yes,5632,38,
1402,CAMP_10,No,No,NULL,Inside,Yes,NULL,Yes,6116,36,
