DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
RAILROAD CAP 2_2522,EMS,ABC,en_3242622_SH,1,N,NULL,NULL,NULL,6300,12.0KV_6300,Fall-InSvcSchedule,,NULL,All
RAILROAD CAP 1_2523,EMS,ABC,en_3242611_SH,1,N,NULL,NULL,NULL,6300,12.0KV_6300,Fall-InSvcSchedule,,NULL,All
ALESSANDRO CAP 4_2556,EMS,ABC,en_3275600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ALESSANDRO CAP 2_2557,EMS,ABC,en_3275601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ALESSANDRO CAP 5_2558,EMS,ABC,en_3275602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ALESSANDRO CAP 1_2559,EMS,ABC,en_3277601_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
GAVILAN CAP 2_PSS_2560,EMS,ABC,en_3280601_SH,1,N,NULL,NULL,NULL,3600,33.0KV_3600,Fall-InSvcSchedule,,NULL,All
GAVILAN CAP 1_2561,EMS,ABC,en_3281600_SH,1,N,NULL,NULL,NULL,3600,12.0KV_3600,Fall-InSvcSchedule,,NULL,All
EL SOBRANTE CAP 1_PSS_2562,EMS,ABC,en_3282110_SH,1,N,NULL,NULL,NULL,6000,33.0KV_6000,Fall-InSvcSchedule,,NULL,All
BUNKER CAP 1_2569,EMS,ABC,en_3291600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BUNKER CAP 2_2570,EMS,ABC,en_3291601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BUNKER CAP 3_2571,EMS,ABC,en_3291602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CANYON CAP 1_2572,EMS,ABC,en_3292601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CHIQUITA CAP 1_2573,EMS,ABC,en_3293600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CHIQUITA CAP 2_2574,EMS,ABC,en_3293601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
CHIQUITA CAP 3_2575,EMS,ABC,en_3293602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CHIQUITA CAP 4_2576,EMS,ABC,en_3293603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MAYBERRY CAP 1_2583,EMS,ABC,en_3299600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MAYBERRY CAP 2_2584,EMS,ABC,en_3299601_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
ONEILL CAP 1_2587,EMS,ABC,en_3301612_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ONEILL CAP 2_2588,EMS,ABC,en_3301622_SH,1,N,NULL,NULL,NULL,4500,12.0KV_4500,Fall-InSvcSchedule,,NULL,All
PAUBA CAP 1_2589,EMS,ABC,en_3302600_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
PAUBA CAP 2_2590,EMS,ABC,en_3302601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SKYLARK CAP 1_2591,EMS,ABC,en_3303600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
