DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
HANFORD NO.3N BANK_562,EMS,ABC,en_958120,en_959704,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HANFORD,NULL,All,NULL
HANFORD NO.2N BANK_563,EMS,ABC,en_958118,en_959701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,HANFORD,NULL,All,NULL
MOULTON NO.1E BANK_595,EMS,ABC,en_653201,en_4202701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
MOULTON NO.1W BANK_600,EMS,ABC,en_653202,en_4202702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
MOULTON NO.2E BANK_605,EMS,ABC,en_653401,en_4202704,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
MOULTON NO.2W BANK_606,EMS,ABC,en_653402,en_4202705,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
INYOKERN NO.3W BANK_853,EMS,ABC,en_201450,en_202850,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,INYOKERN,NULL,All,NULL
INYOKERN NO.3E BANK_858,EMS,ABC,en_201451,en_202851,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,INYOKERN,NULL,All,NULL
INYOKERN NO.1 BANK_859,EMS,ABC,en_434008,en_201250_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,INYOKERN,NULL,All,NULL
INYOKERN NO.2 BANK_865,EMS,ABC,en_434009,en_201350_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,INYOKERN,NULL,All,NULL
CASA DIABLO NO.5 BANK_871,EMS,ABC,en_506802,en_543802_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CASA_DIABLO,NULL,All,NULL
CASA DIABLO NO.1E BANK_872,EMS,ABC,en_488102,en_506330,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CASA_DIABLO,NULL,All,NULL
CASA DIABLO NO.1W BANK_873,EMS,ABC,en_488101,en_506331,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CASA_DIABLO,NULL,All,NULL
