PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
162,AMCO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5256,25,
163,NORTHROP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8556,25,
164,MARYMOUNT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5275,25,
165,LA_FRESA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,25,
166,BRIDGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5257,25,
167,BRIGHTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5226,25,
168,COMPRESS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8818,25,
169,COSMIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5214,25,
170,CREST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5264,25,
171,DITMAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5246,25,
172,HOWARD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5210,25,
173,HUGHTRON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5220,25,
174,LA_FRESA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5021,25,
175,REVITAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5765,28,
176,RALPHS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5285,28,
177,PERFORMANCE,No,Yes,NULL,Inside,Yes,NULL,No,5198,28,
178,ICEGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8553,28,
179,JERSEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5776,28,
180,NOLA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5751,28,
181,PACLINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5730,28,
182,REFINERY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5265,28,
183,RINGMILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8507,28,
184,SIGNAL_HILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5753,28,
185,SUNNYSIDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5785,28,
186,TOYOTA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5286,28,
187,WESTEX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5792,28,
188,FREMONT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5720,28,
189,WEBMET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5905,28,
190,ASTRO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5719,28,
191,BAILEY_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,3,
192,LIGHTHIP_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,28,
193,ALON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5701,28,
194,CHEVCENTRAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5295,7,
195,SHRED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5288,28,
196,BULLIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5756,28,
197,LIGHTHIPE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5073,28,
198,LYNWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5731,28,
199,CARSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5711,28,
200,CERTIFIED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5795,28,
201,CORNERS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5270,28,
202,DOMHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5775,28,
203,FERNWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5749,28,
204,COMPTON,No,Yes,NULL,Inside,Yes,NULL,Yes,5767,28,
205,CARMENITA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5814,9,
206,KRAMER_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,22,
207,DUGAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
208,JUNE_LAKE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2583,22,
209,KARMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8371,45,
210,ZACK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2582,22,
211,RANDOLPH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5739,26,
212,BOTTLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8182,10,
213,HARRY_ALLEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
214,REFUSE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5129,26,
215,SHULTZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5172,26,
216,BANDINI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5107,26,
217,FRUITLAND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5718,26,
218,VAIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5175,26,
219,LAG_BELL_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,26,
220,LAGUNA_BELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5074,26,
221,PURIFY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5422,2,
222,CALDEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5750,26,
223,OTAY_MESA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,67,
224,WINDSTAR_1,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0105,53,
225,CUDAHY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5714,26,
226,FEDERALGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5120,26,
227,SANTA_MONICA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5231,24,
228,MOVIE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5798,24,
229,TAHITI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5271,24,
230,STANHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5273,24,
231,SAWTELLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5250,24,
232,SPARKLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8513,2,
233,WINDSOR_HILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5235,24,
234,MWD_VENICE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1050,24,
235,CULVER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5204,24,
236,COLORADO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5242,24,
237,BEVERLY_HILLS_A,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5201,24,
238,LA_CIENG_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,24,
239,LA_CIENEGA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5024,24,
240,SONY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5287,24,
241,MARINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5217,24,
242,SEABRIGHT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5790,20,
243,SUNSHINE_VALLEY_SOLAR_VEA,No,No,NULL,Inside,Yes,NULL,Yes,NULL,61,
244,RADAR_VEA,No,No,NULL,Inside,Yes,NULL,Yes,NULL,61,
245,STATE_STREET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5755,20,
246,THUMS_ISLANDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5741,20,
247,SERRFGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8550,20,
248,LONG_BEACH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5027,20,
249,SHELLWATT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5705,20,
250,TIDELANDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5289,20,
251,FUEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5773,20,
252,WATSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5758,20,
253,ARCOGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5022,20,
254,HARBORGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5019,20,
255,CHERRY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5797,20,
256,BEVERLY_HILLS_B,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5201,12,
257,AIR_PRODUCTS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5292,20,
258,CARBONIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8557,20,
259,EL_CASCO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8006,13,
260,HINSON_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,20,
261,BOWL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5708,20,
262,PICO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5722,20,
263,CARBOGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5281,20,
264,LOCUST,No,Yes,NULL,Inside,Yes,NULL,Yes,5735,20,
265,HINSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5071,20,
266,LOS_CERRITOS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5738,20,
267,DIKE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5721,20,
268,NEPTUNE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5781,20,
269,POLYPRO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5697,20,
270,HYGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5671,17,
271,GATX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5280,20,
272,RIVERTEX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8007,47,
273,CAMERON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5712,20,
274,PHELAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8010,47,
275,ROADWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8000,47,
276,SAVAGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8020,47,
277,PERMANENTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8090,47,
278,ELDORADO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5090,15,
279,PISGAH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5065,15,
280,HESPERIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8087,47,
281,COOL_WATER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8074,23,
282,CIMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5043,15,
283,MOHAVE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5045,47,
284,SOPORT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8340,47,
285,BLACK_MOUNTAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8023,47,
286,AQUEDUCT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8079,47,
287,APPLE_VALLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8013,47,
288,VICTOR_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,47,
289,VICTOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8049,47,
290,PLUESS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8353,47,
291,COTTONWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8027,47,
292,LUGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5061,23,
293,NAVY_II,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,23,
294,BLM_EAST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,23,
295,LSP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4251,23,
296,CONTROL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2556,22,
297,TORTILLA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8037,22,
298,RUSH_CREEK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2514,22,
299,BLM_WEST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4250,23,
300,CONTROL_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,22,
301,BISHOP_CREEK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2501,22,
302,LEE_VINING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2561,22,
303,JOHANNA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,21,
304,CASA_DIABLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2557,22,
305,SHERWIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2571,22,
306,TIEFORT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8047,22,
307,KRAMER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5042,22,
