DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
NO.2 CAPS SW_3015,EMS,ABC,en_3409603,en_3409603_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS 12KV CB_3016,EMS,ABC,en_3410600,en_3410600_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS 12KV SW_3017,EMS,ABC,en_3410602,en_3410602_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS 12KV SW_3018,EMS,ABC,en_3410604,en_3410604_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS 12KV CB_3057,EMS,ABC,en_3421611,en_3421611_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS CB_3077,EMS,ABC,en_3428611,en_3428611_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO 2 CAPS SW_3078,EMS,ABC,en_3428622,en_3428622_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO 3 CAPS SW_3079,EMS,ABC,en_3428632,en_3428632_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS SW_3083,EMS,ABC,en_3436613,en_3436613_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS 12KV CB_3095,EMS,ABC,en_3431600,en_3431600_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS CB_3112,EMS,ABC,en_3468601,en_3468601_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS CB_3113,EMS,ABC,en_3468600,en_3468600_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.5 CAPS CB_3114,EMS,ABC,en_3469600,en_3469600_SH,NULL,N,Y,Y,N,Y,N,N,CB_4.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO 2 CAPS SWITCH_3130,EMS,ABC,en_3478621,en_3478621_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO 1 CAPS SWITCH_3131,EMS,ABC,en_3478611,en_3478611_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO 3 CAPS SWITCH_3132,EMS,ABC,en_3478632,en_3478632_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.4 CAPS 12KV CB_3153,EMS,ABC,en_3410605,en_3410605_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS CB_3173,EMS,ABC,en_3573603,en_3573603_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS SW_3174,EMS,ABC,en_3573606,en_3573606_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS SW_3181,EMS,ABC,en_3505603,en_3505603_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS SW_3182,EMS,ABC,en_3505605,en_3505605_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS CB_3183,EMS,ABC,en_3571607,en_3571607_SH,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS SW_3651,EMS,ABC,en_3573609,en_3573609_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
