DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
BULLIS CAP 2_626,EMS,ABC,en_252621_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
LAS LOMAS CAP 3_691,EMS,ABC,en_4301151_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
VALDEZ CAP 1AB_715,EMS,ABC,en_2038797_SH,1,N,NULL,NULL,NULL,4500,16.0KV_4500,Fall-InSvcSchedule,,NULL,All
VALDEZ CAP 2AB_716,EMS,ABC,en_2038898_SH,1,N,NULL,NULL,NULL,3600,16.0KV_3600,Fall-InSvcSchedule,,NULL,All
ROADWAY CAP 3_738,EMS,ABC,en_3571609_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ROYAL CAP 4_742,EMS,ABC,en_3039130_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
CALECTRIC CAP 1_784,EMS,ABC,en_1542603_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
CALECTRIC CAP 2_785,EMS,ABC,en_1542606_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
COTTONWOOD CAP 2_786,EMS,ABC,en_3505605_SH,1,N,NULL,NULL,NULL,4800,33.0KV_4800,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 10_791,EMS,ABC,en_1573614_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 11_792,EMS,ABC,en_1573613_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
BAIN CAP 1_804,EMS,ABC,en_390115_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BAIN CAP 2_805,EMS,ABC,en_390113_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
EISENHOWER CAP 1_891,EMS,ABC,en_3406114_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
EISENHOWER CAP 2_892,EMS,ABC,en_3406115_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
FERNWOOD CAP 2_PSS_936,EMS,ABC,en_262126_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
FERNWOOD CAP 2_937,EMS,ABC,en_262126_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 1_942,EMS,ABC,en_3037617_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 2_943,EMS,ABC,en_3037618_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 5_944,EMS,ABC,en_3037619_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWBURY CAP 6_945,EMS,ABC,en_3037620_SH,1,N,NULL,NULL,NULL,3600,16.0KV_3600,Fall-InSvcSchedule,,NULL,All
COFFEE CAP 1_949,EMS,ABC,en_1882973_SH,1,N,NULL,NULL,NULL,6300,12.0KV_6300,Fall-InSvcSchedule,,NULL,All
CORONA CAP 1_1033,EMS,ABC,en_1529115_SH,1,N,NULL,NULL,NULL,6800,33.0KV_6800,Fall-InSvcSchedule,,NULL,All
CORONA CAP 2_1034,EMS,ABC,en_1529117_SH,1,N,NULL,NULL,NULL,6800,33.0KV_6800,Fall-InSvcSchedule,,NULL,All
CORONA CAP 5_1035,EMS,ABC,en_1530136_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CORONA CAP 6_1036,EMS,ABC,en_1530138_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CORONA CAP 3_1037,EMS,ABC,en_1530212_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CORONA CAP 4_1038,EMS,ABC,en_1530214_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 2_1044,EMS,ABC,en_1536621_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 4_1045,EMS,ABC,en_1536641_SH,1,N,NULL,NULL,NULL,7200,12.0KV_7200,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 6_1046,EMS,ABC,en_1536661_SH,1,N,NULL,NULL,NULL,7200,12.0KV_7200,Fall-InSvcSchedule,,NULL,All
SANTIAGO CAP 7_1047,EMS,ABC,en_1536671_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CALECTRIC CAP 1_PSS_1050,EMS,ABC,en_1542603_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
CALECTRIC CAP 2_PSS_1051,EMS,ABC,en_1542606_SH,1,N,NULL,NULL,NULL,10200,33.0KV_10200,Fall-InSvcSchedule,,NULL,All
GLEN AVON CAP 1_1502,EMS,ABC,en_4011612_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
GLEN AVON CAP 2_1503,EMS,ABC,en_4011622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
LAS LOMAS CAP 2_1601,EMS,ABC,en_4301124_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CHASE CAP 1_1606,EMS,ABC,en_4103612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CHASE CAP 2_1607,EMS,ABC,en_4103622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CHASE CAP 4_1608,EMS,ABC,en_4103632_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CHASE CAP 5_1609,EMS,ABC,en_4103642_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ESTRELLA CAP 1_1613,EMS,ABC,en_3318612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CRATER CAP 1_1625,EMS,ABC,en_4114610_SH,1,N,NULL,NULL,NULL,2400,16.0KV_2400,Fall-InSvcSchedule,,NULL,All
CRATER CAP 2_1626,EMS,ABC,en_4114620_SH,1,N,NULL,NULL,NULL,2400,16.0KV_2400,Fall-InSvcSchedule,,NULL,All
DEVERS CAP 6_1647,EMS,ABC,en_4129662_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
DEVERS CAP 7_1648,EMS,ABC,en_4129672_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CARODEAN CAP 1_1649,EMS,ABC,en_4130612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
COLTON CAP 2_1663,EMS,ABC,en_4143611_SH,1,N,NULL,NULL,NULL,6048,12.0KV_6048,Fall-InSvcSchedule,,NULL,All
AQUEDUCT CAP 1_1665,EMS,ABC,en_4147612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
AQUEDUCT CAP 2_1666,EMS,ABC,en_4147622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
