DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
EISENHOWER NO.1 BANK:SERIES,EMS,ABC,en_3407051_S,en_3407051,SRD_12.0KV_EMS,DMSLimitGrp1,EISENHOWER,NULL,All
EISENHOWER NO.2 BANK:SERIES,EMS,ABC,en_3407058_S,en_3407058,SRD_12.0KV_EMS,DMSLimitGrp1,EISENHOWER,NULL,All
HOMART NO.3 BANK:SERIES,EMS,ABC,en_3409704_S,en_3409704,SRD_12.0KV_EMS,DMSLimitGrp1,HOMART,NULL,All
ALON NO.2 BANK:SERIES,EMS,ABC,en_3431054_S,en_3431054,SRD_12.0KV_EMS,DMSLimitGrp1,ALON,NULL,All
ALON NO.1 BANK:SERIES,EMS,ABC,en_3431060_S,en_3431060,SRD_12.0KV_EMS,DMSLimitGrp1,ALON,NULL,All
FREMONT NO.5 BANK:SERIES,EMS,ABC,en_3469055_S,en_3469055,SRD_4.0KV_EMS,DMSLimitGrp1,FREMONT,NULL,All
FREMONT NO.6 BANK:SERIES,EMS,ABC,en_3469061_S,en_3469061,SRD_4.0KV_EMS,DMSLimitGrp1,FREMONT,NULL,All
FREMONT NO.1 BANK:SERIES,EMS,ABC,en_3468055_S,en_3468055,SRD_16.0KV_EMS,DMSLimitGrp1,FREMONT,NULL,All
NIGUEL NO.3 BANK:SERIES,EMS,ABC,en_3478701_S,en_3478701,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
NIGUEL NO.4 BANK:SERIES,EMS,ABC,en_3478702_S,en_3478702,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
NIGUEL NO.5 BANK:SERIES,EMS,ABC,en_3478703_S,en_3478703,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
