DeviceName,BusGroupName,PhaseCode,ConnectedNode1,LGFaultEnabled,ThreePhFaultEnabled,FLAEnabled,OperatingVoltage,SubstationName,FeederName,AORRefName
JERSEY 16_3267007_95,EMS,ABC,en_3267007,N,N,N,12.0kV_EMS,JERSEY,NULL,Z_EMS
JERSEY 16_3267012_96,EMS,ABC,en_3267012,N,N,N,12.0kV_EMS,JERSEY,NULL,Z_EMS
NOLA 16_3269056_97,EMS,ABC,en_3269056,N,N,N,12.0kV_EMS,NOLA,NULL,Z_EMS
NOLA 16_3269997_98,EMS,ABC,en_3269997,N,N,N,12.0kV_EMS,NOLA,NULL,Z_EMS
BORREGO 12_3286053_99,EMS,ABC,en_3286053,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286062_100,EMS,ABC,en_3286062,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286500_101,EMS,ABC,en_3286500,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286997_102,EMS,ABC,en_3286997,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
BORREGO 12_3286500_103,EMS,ABC,en_3286500,N,N,N,12.0kV_EMS,BORREGO,NULL,Z_EMS
IRVINE 12_3297005_104,EMS,ABC,en_3297005,N,N,N,12.0kV_EMS,IRVINE,NULL,Z_EMS
IRVINE 12_3297011_105,EMS,ABC,en_3297011,N,N,N,12.0kV_EMS,IRVINE,NULL,Z_EMS
MORRO 12_3300012_106,EMS,ABC,en_3300012,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300006_107,EMS,ABC,en_3300006,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300997_108,EMS,ABC,en_3300997,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MORRO 12_3300999_109,EMS,ABC,en_3300999,N,N,N,12.0kV_EMS,MORRO,NULL,Z_EMS
MAXWELL 12_3313005_110,EMS,ABC,en_3313005,N,N,N,12.0kV_EMS,MAXWELL,NULL,Z_EMS
MAXWELL 12_3313007_111,EMS,ABC,en_3313007,N,N,N,12.0kV_EMS,MAXWELL,NULL,Z_EMS
ESTRELLA 12_3318005_112,EMS,ABC,en_3318005,N,N,N,12.0kV_EMS,ESTRELLA,NULL,Z_EMS
ESTRELLA 12_3318015_113,EMS,ABC,en_3318015,N,N,N,12.0kV_EMS,ESTRELLA,NULL,Z_EMS
MOORPARK 16_3322500_114,EMS,ABC,en_3322500,N,N,N,12.0kV_EMS,MOORPARK,NULL,Z_EMS
MOORPARK 16_3322062_115,EMS,ABC,en_3322062,N,N,N,12.0kV_EMS,MOORPARK,NULL,Z_EMS
EISENHOW 33_3406052_116,EMS,ABC,en_3406052,N,N,N,12.0kV_EMS,EISENHOWER,NULL,Z_EMS
EISENHOW 33_3406056_117,EMS,ABC,en_3406056,N,N,N,12.0kV_EMS,EISENHOWER,NULL,Z_EMS
EISENHOW 12_3407051_118,EMS,ABC,en_3407051,N,N,N,12.0kV_EMS,EISENHOWER,NULL,Z_EMS
EISENHOW 12_3407058_119,EMS,ABC,en_3407058,N,N,N,12.0kV_EMS,EISENHOWER,NULL,Z_EMS
HOMART 12_3409999_120,EMS,ABC,en_3409999,N,N,N,12.0kV_EMS,HOMART,NULL,Z_EMS
HOMART 12_3409500_121,EMS,ABC,en_3409500,N,N,N,12.0kV_EMS,HOMART,NULL,Z_EMS
JEFFERSON 12_3410999_122,EMS,ABC,en_3410999,N,N,N,12.0kV_EMS,JEFFERSON,NULL,Z_EMS
JEFFERSON 12_3410500_123,EMS,ABC,en_3410500,N,N,N,12.0kV_EMS,JEFFERSON,NULL,Z_EMS
PEPPER 12_3421005_124,EMS,ABC,en_3421005,N,N,N,12.0kV_EMS,PEPPER,NULL,Z_EMS
PEPPER 12_3421013_125,EMS,ABC,en_3421013,N,N,N,12.0kV_EMS,PEPPER,NULL,Z_EMS
PEPPER 12_3421999_126,EMS,ABC,en_3421999,N,N,N,12.0kV_EMS,PEPPER,NULL,Z_EMS
PEPPER 12_3421997_127,EMS,ABC,en_3421997,N,N,N,12.0kV_EMS,PEPPER,NULL,Z_EMS
SHANDIN 12_3428999_128,EMS,ABC,en_3428999,N,N,N,12.0kV_EMS,SHANDIN,NULL,Z_EMS
SHANDIN 12_3428015_129,EMS,ABC,en_3428015,N,N,N,12.0kV_EMS,SHANDIN,NULL,Z_EMS
SHANDIN 12_3428999_130,EMS,ABC,en_3428999,N,N,N,12.0kV_EMS,SHANDIN,NULL,Z_EMS
ALON 12_3431054_131,EMS,ABC,en_3431054,N,N,N,12.0kV_EMS,ALON,NULL,Z_EMS
ALON 12_3431060_132,EMS,ABC,en_3431060,N,N,N,12.0kV_EMS,ALON,NULL,Z_EMS
WRIGHTWOOD 12_3436999_133,EMS,ABC,en_3436999,N,N,N,12.0kV_EMS,WRIGHTWOOD,NULL,Z_EMS
WRIGHTWOOD 12_3436050_134,EMS,ABC,en_3436050,N,N,N,12.0kV_EMS,WRIGHTWOOD,NULL,Z_EMS
WRIGHTWOOD 12_3436999_135,EMS,ABC,en_3436999,N,N,N,12.0kV_EMS,WRIGHTWOOD,NULL,Z_EMS
FREMONT 16_3468055_136,EMS,ABC,en_3468055,N,N,N,12.0kV_EMS,FREMONT,NULL,Z_EMS
FREMONT 16_3468061_137,EMS,ABC,en_3468061,N,N,N,12.0kV_EMS,FREMONT,NULL,Z_EMS
FREMONT 4_3469600_138,EMS,ABC,en_3469600,N,N,N,4.0kV_EMS,FREMONT,NULL,Z_EMS
NIGUEL 12_3478002_139,EMS,ABC,en_3478002,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
NIGUEL 12_3478004_140,EMS,ABC,en_3478004,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
NIGUEL 12_3478011_141,EMS,ABC,en_3478011,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
NIGUEL 12_3478996_142,EMS,ABC,en_3478996,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
NIGUEL 12_3478999_143,EMS,ABC,en_3478999,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
NIGUEL 12_3478997_144,EMS,ABC,en_3478997,N,N,N,12.0kV_EMS,NIGUEL,NULL,Z_EMS
COTTONWOOD 33_3505061_145,EMS,ABC,en_3505061,N,N,N,12.0kV_EMS,COTTONWOOD,NULL,Z_EMS
COTTONWOOD 33_3505064_146,EMS,ABC,en_3505064,N,N,N,12.0kV_EMS,COTTONWOOD,NULL,Z_EMS
OAK PARK 16_3512003_147,EMS,ABC,en_3512003,N,N,N,12.0kV_EMS,OAK_PARK,NULL,Z_EMS
OAK PARK 16_3512011_148,EMS,ABC,en_3512011,N,N,N,12.0kV_EMS,OAK_PARK,NULL,Z_EMS
OAK PARK 16_3512999_149,EMS,ABC,en_3512999,N,N,N,12.0kV_EMS,OAK_PARK,NULL,Z_EMS
