AssetID,GroupName,Description,SerialNumber,High_Node,Low_Node,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,ComponentTypeName,StringValue,SubDeviceAssetID,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName
ADAK E CB:6578,DMS,NULL,NULL,en_238131,en_238132,SWITCH,1!2!3!4!5,Switch_Position!Reactive_Power!Current!Current!Current,ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,173437!NULL!NULL!NULL!NULL,NULL!118467!118463!118464!118465,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
ADAK W CB:6575,DMS,NULL,NULL,en_238129,en_238130,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173438,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
ALASKA E CB:6548,DMS,NULL,NULL,en_238111,en_238112,SWITCH,1!2!3!4!5,Switch_Position!Reactive_Power!Current!Current!Current,ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,173473!NULL!NULL!NULL!NULL,NULL!118487!118483!118484!118485,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
ALASKA W CB:6545,DMS,NULL,NULL,en_238109,en_238110,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173474,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
ANCHOR E CB:6608,DMS,NULL,NULL,en_238151,en_238152,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173401!NULL!NULL!NULL!NULL!NULL,NULL!106364!118447!118443!118444!118445,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
ANCHOR W CB:6605,DMS,NULL,NULL,en_238149,en_238150,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173402,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
BC SEC DS:6626,DMS,NULL,NULL,en_239200,en_239300,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173946,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
BURLEIGH CB:6655,DMS,NULL,NULL,en_239115,en_239116,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173551!NULL!NULL!NULL!NULL!NULL,NULL!106363!118543!118539!118540!118541,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
CB 13 BS TIE:6522,DMS,NULL,NULL,en_237112,en_237113,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173256,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
CB17CSMC-HWR:6529,DMS,NULL,NULL,en_237116,en_237117,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173244,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
