ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
32894,DMS_RUBIDOUX_FLABOB_IB             ,RealQ             ,1,             ,33,              ,229910,             ,           ,          ,   ,               ,
33130,DMS_RUSH_FORBID_CB                 ,StateQ            ,1,             ,34,255303,              ,             ,           ,          ,   ,               ,
32895,DMS_RUSH_FORBID_IB                 ,RealQ             ,1,             ,33,              ,211556,             ,           ,          ,   ,               ,
33131,DMS_RUSH_FORBID_REC                ,StateQ            ,1,             ,34,255304,              ,             ,           ,          ,   ,               ,
33132,DMS_RUSH_HIGHCLIFF_CB              ,StateQ            ,1,             ,34,255319,              ,             ,           ,          ,   ,               ,
32896,DMS_RUSH_HIGHCLIFF_IB              ,RealQ             ,1,             ,33,              ,211566,             ,           ,          ,   ,               ,
33133,DMS_RUSH_HIGHCLIFF_REC             ,StateQ            ,1,             ,34,255320,              ,             ,           ,          ,   ,               ,
33134,DMS_RUSH_OPPORTUNITY_CB            ,StateQ            ,1,             ,34,255362,              ,             ,           ,          ,   ,               ,
32897,DMS_RUSH_OPPORTUNITY_IB            ,RealQ             ,1,             ,33,              ,211592,             ,           ,          ,   ,               ,
33135,DMS_RUSH_OPPORTUNITY_REC           ,StateQ            ,1,             ,34,255363,              ,             ,           ,          ,   ,               ,
33136,DMS_RUSH_PALJAY_CB                 ,StateQ            ,1,             ,34,255338,              ,             ,           ,          ,   ,               ,
32898,DMS_RUSH_PALJAY_IB                 ,RealQ             ,1,             ,33,              ,211577,             ,           ,          ,   ,               ,
33137,DMS_RUSH_PALJAY_REC                ,StateQ            ,1,             ,34,255339,              ,             ,           ,          ,   ,               ,
33138,DMS_RUSH_TAMORA_CB                 ,StateQ            ,1,             ,34,255287,              ,             ,           ,          ,   ,               ,
32899,DMS_RUSH_TAMORA_IB                 ,RealQ             ,1,             ,33,              ,211546,             ,           ,          ,   ,               ,
33139,DMS_RUSH_TAMORA_REC                ,StateQ            ,1,             ,34,255288,              ,             ,           ,          ,   ,               ,
33140,DMS_SHANDIN_AVANTI_CB              ,StateQ            ,1,             ,34,41408,              ,             ,           ,          ,   ,               ,
32900,DMS_SHANDIN_AVANTI_IB              ,RealQ             ,1,             ,33,              ,206886,             ,           ,          ,   ,               ,
33141,DMS_SHANDIN_AVANTI_REC             ,StateQ            ,1,             ,34,41409,              ,             ,           ,          ,   ,               ,
33142,DMS_SHANDIN_SWEETWATER_CB          ,StateQ            ,1,             ,34,41426,              ,             ,           ,          ,   ,               ,
32901,DMS_SHANDIN_SWEETWATER_IB          ,RealQ             ,1,             ,33,              ,206901,             ,           ,          ,   ,               ,
33143,DMS_SHANDIN_SWEETWATER_REC         ,StateQ            ,1,             ,34,41427,              ,             ,           ,          ,   ,               ,
33144,DMS_SHAWNEE_BLACKHAWK_REC          ,StateQ            ,1,             ,34,174581,              ,             ,           ,          ,   ,               ,
33145,DMS_SHAWNEE_COMANCHE_REC           ,StateQ            ,1,             ,34,174560,              ,             ,           ,          ,   ,               ,
32902,DMS_SIERRAMA_GLORIA_IB             ,RealQ             ,1,             ,33,              ,136014,             ,           ,          ,   ,               ,
32903,DMS_SIERRAMA_SAINT_JO_IB           ,RealQ             ,1,             ,33,              ,136021,             ,           ,          ,   ,               ,
33146,DMS_SULLIVAN_SUGAR_CB              ,StateQ            ,1,             ,34,194664,              ,             ,           ,          ,   ,               ,
32905,DMS_SULLIVAN_SUGAR_IB              ,RealQ             ,1,             ,33,              ,126573,             ,           ,          ,   ,               ,
33147,DMS_SULLIVAN_SUGAR_REC             ,StateQ            ,1,             ,34,194665,              ,             ,           ,          ,   ,               ,
33148,DMS_SUNCITY_SUNGLASSES_CB          ,StateQ            ,1,             ,34,39411,              ,             ,           ,          ,   ,               ,
32904,DMS_SXTEEN_POTATO_IB               ,RealQ             ,1,             ,33,              ,226284,             ,           ,          ,   ,               ,
33149,DMS_TALBERT_RAVEN_REC              ,StateQ            ,1,             ,34,261485,              ,             ,           ,          ,   ,               ,
32906,DMS_TERRACE_HARRISON_IB            ,RealQ             ,1,             ,33,              ,129593,             ,           ,          ,   ,               ,
33150,DMS_TIMOTEO_DOCTORS_CB             ,StateQ            ,1,             ,34,212204,              ,             ,           ,          ,   ,               ,
32907,DMS_TIMOTEO_DOCTORS_IB             ,RealQ             ,1,             ,33,              ,185606,             ,           ,          ,   ,               ,
33151,DMS_TIMOTEO_INTERN_CB              ,StateQ            ,1,             ,34,212200,              ,             ,           ,          ,   ,               ,
32908,DMS_TIMOTEO_INTERN_IB              ,RealQ             ,1,             ,33,              ,185591,             ,           ,          ,   ,               ,
33152,DMS_TIMOTEO_VITAMIN_CB             ,StateQ            ,1,             ,34,212215,              ,             ,           ,          ,   ,               ,
32909,DMS_TIMOTEO_VITAMIN_IB             ,RealQ             ,1,             ,33,              ,191455,             ,           ,          ,   ,               ,
33153,DMS_VERA_RAMBLER_CB                ,StateQ            ,1,             ,34,193944,              ,             ,           ,          ,   ,               ,
32910,DMS_VERA_RAMBLER_IB                ,RealQ             ,1,             ,33,              ,126202,             ,           ,          ,   ,               ,
33154,DMS_VERA_RAMBLER_REC               ,StateQ            ,1,             ,34,193945,              ,             ,           ,          ,   ,               ,
33155,DMS_WABASH_HARRISON_CB             ,StateQ            ,1,             ,34,184108,              ,             ,           ,          ,   ,               ,
33156,DMS_WABASH_HARRISON_REC            ,StateQ            ,1,             ,34,184109,              ,             ,           ,          ,   ,               ,
