ObjectName,ObjectType,InterpretationTable,SeqOfEvents,ServerControlCenterRef,DomainNameRef,DataSetNameRef,StatusPointRef,AnalogPointRef,AccumPointRef,CmePointRef,ClientControlCenterRef,
DMS_ALDER_WINDTUNNEL_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,3301,NULL,NULL,NULL,NULL,
DMS_ALDER_WINDTUNNEL_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,1100,NULL,NULL,NULL,
DMS_ALDER_WINDTUNNEL_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,1103,NULL,NULL,NULL,
DMS_ALDER_WINDTUNNEL_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,3302,NULL,NULL,NULL,NULL,
DMS_ALESADRO_BENTON_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39839,NULL,NULL,NULL,NULL,
DMS_ALESADRO_BENTON_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,206388,NULL,NULL,NULL,
DMS_ALESADRO_BENTON_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39840,NULL,NULL,NULL,NULL,
DMS_ALESADRO_HEACOCK_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39847,NULL,NULL,NULL,NULL,
DMS_ALESADRO_HEACOCK_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,206393,NULL,NULL,NULL,
DMS_ALESADRO_HEACOCK_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39848,NULL,NULL,NULL,NULL,
DMS_ALESADRO_REAGAN_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39811,NULL,NULL,NULL,NULL,
DMS_ALESADRO_REAGAN_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,206372,NULL,NULL,NULL,
DMS_ALESADRO_REAGAN_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,39812,NULL,NULL,NULL,NULL,
DMS_ALHAMB_ALMANSOR_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128607,NULL,NULL,NULL,
DMS_ALHAMB_ASTEROID_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,218941,NULL,NULL,NULL,
DMS_ALHAMB_BRAUN_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128587,NULL,NULL,NULL,
DMS_ALHAMB_CRESTA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128597,NULL,NULL,NULL,
DMS_ALHAMB_GRAVES_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199284,NULL,NULL,NULL,NULL,
DMS_ALHAMB_GRAVES_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128649,NULL,NULL,NULL,
DMS_ALHAMB_GRAVES_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,199285,NULL,NULL,NULL,NULL,
DMS_ALHAMB_KAY_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128572,NULL,NULL,NULL,
DMS_ALHAMB_MARGUERITA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128602,NULL,NULL,NULL,
DMS_ALHAMB_NO1_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128525,NULL,NULL,NULL,
DMS_ALHAMB_NO1_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128523,NULL,NULL,NULL,
