PointNumber,PointName,LogicalDisplayReference,PropagateInitialValue,SetNonUpdate,ManualOverride,ManualEntry,Events,AnalogDemandScan,StateCalculator,AssetID,PICollection,PIValueTag,PIQualityStorage,PIQualityTag,ToggleReleaseThreshold,ToggleInhibitThreshold,eDNACollection,eDNAExtIdentifier,eDNAQualityStorage,eDNASecurityGroup,PI_Digital_Set_Number,DOMDeviceType,URLtype,URLDescription,URL,InitialValue,LogRoutAssnRefName,StationName,GroupName,MapboardFunctionGroup,StateFeatGroupAssnStateNumber,AbnormalSetting,TriggerRefName,DataDivisionRefName,AORRefName,MenuRefNumber,AltDataSourcePriority,AltDataSourceIdentifier,UtilizationIdentifier,AltDataSourceInitiation,AltDataSourceRestoration,ControlProgramRefName,ControlStateGroupSet,PointPosition,StartControlState,LayoutType,LayoutNumber,StateControlAssnStateNumber,JogPoint,Command,PulseDuration,OperateTime,DesiredEndState,Priority,RetryLimit,AllowedControlState,CntlValidationProgRefName,ValidationVersionNum,IndicationStateGroupSet,IndicationPointPosition,IndicationBitPosition,IndicationLayoutType,IndicationLayoutNumber,ScanBlockRefName,SetEntryNumber,AssocDevicePointNumber,AnalogPointNumber,WarningRequired,WarningAckRequired,WarningMessage,CollectToHistoricalSchedRef,ActionDescriptionSetRef,CircuitLabelName,SubstationName,DeviceTypeName,LongName,AltLongName,Input_Group_Name,DOG_Reference,AlarmProfileReference,OPCTagName,
108976,HLS FAILURE GEN ALM,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,14,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108977,66 HINSON PW ALM,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,15,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108981,THUMS 2 CABLE GROUND,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,75,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108983,THUMS 1 CABLE GROUND,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,73,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108985,THUMS 1/2 66 CABLE,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,77,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108986,66KV CAP NO. 5 CVAL,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,16,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108988,NO.1/NO.2 BK GENERAL,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,17,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108989,NO.1 BK 66KV OVLD,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORMAL,All,PICO_RT1,NULL,NULL,1!2,No!Yes,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,571,18,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 4!Class 2,NULL,
108990,NO.1 BK DIFF DC,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORML,All,PICO_RT1,NULL,NULL,1!2,Yes!No,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,19,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 15!Class 2,NULL,
108991,NO.1 BK DIFF TRIP,PICO,No,Yes,No,Yes,Yes,No,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,XA21 Quality,NULL,NULL,NULL,NULL,NULL,NULL,NORMAL,All,PICO_RT1,NULL,NULL,1!2,No!Yes,NULL,LIG DAC2 Telem,ALL-HINSON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,571,20,0,Dnp,3044,Dnp 4 sec status,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!2!3,Class 2!Class 4!Class 2,NULL,
